Dates,SPX Index,QQQ US Equity,IWM US Equity,HYG US Equity,LQD US Equity,AGG US Equity,TLT US Equity,IEF US Equity,SHY US Equity,TIP US Equity,GLD US Equity,SLV US Equity,USO US Equity,VNQ US Equity,IYR US Equity
6/24/2010,1073.69,42.4516,57.6702,56.789,84.0695,90.632,81.355,82.4727,81.1385,94.2247,121.3,18.26,34.39,37.7308,38.2133
6/25/2010,1076.76,42.3768,58.6595,57.0486,84.2105,90.7596,81.6849,82.6039,81.1675,94.5527,122.76,18.67,35.66,38.6829,39.1885
6/28/2010,1074.57,42.227,58.3237,57.1751,84.6727,90.9296,82.4519,83.1898,81.2157,94.7743,121.09,18.38,35.21,38.2265,38.7402
6/29/2010,1041.24,40.5982,56.1181,56.6026,84.6336,91.2018,83.3508,83.5484,81.2544,94.8541,121.27,18.13,34.17,36.9754,37.4976
6/30/2010,1030.71,39.9804,55.4692,56.5161,84.9704,91.2103,83.9116,83.6709,81.2351,94.7832,121.68,18.21,33.96,36.582,37.128
7/1/2010,1027.37,39.868,55.0744,56.7865,85.0649,91.1629,84.0435,83.6342,81.2086,94.2415,117.04,17.44,32.87,36.4561,37.0572
7/2/2010,1022.58,39.7557,54.4728,56.7999,84.821,91.035,83.3735,83.4852,81.2086,94.0637,118.49,17.46,32.6,35.7557,36.3494
7/6/2010,1028.06,39.8774,53.7625,57.2492,85.175,91.3164,84.0601,83.6868,81.2086,94.1704,116.51,17.4,32.61,34.961,35.6416
7/7/2010,1060.27,41.1505,55.6384,57.9399,85.23,91.197,83.0757,83.4238,81.199,93.7793,117.73,17.65,33.65,36.6607,37.3404
7/8/2010,1070.25,41.3751,56.4397,58.2082,85.0177,91.18,82.5463,83.2221,81.2086,93.9215,117.21,17.61,34.23,37.117,37.7414
7/9/2010,1077.96,41.7683,57.3139,58.074,84.9154,91.0435,82.0748,83.0029,81.1796,93.9926,118.36,17.73,34.34,37.5892,38.2369
7/12/2010,1078.75,41.89,56.6674,58.0271,85.0177,91.1459,82.0417,83.1432,81.1893,93.9304,117.34,17.62,33.78,37.7072,38.3785
7/13/2010,1095.34,42.4329,58.4613,58.4764,85.0649,90.9156,81.3386,82.7311,81.1313,93.8237,118.36,17.82,34.74,38.6357,39.22
7/14/2010,1095.17,42.6482,58.2518,58.4228,85.4424,91.2226,82.1575,83.1432,81.2183,94.0904,118.3,17.96,34.66,38.4075,38.9919
7/15/2010,1096.48,42.6857,57.7146,58.5099,85.5919,91.3506,82.9764,83.5728,81.2376,94.206,118.23,17.95,34.58,38.2777,38.9054
7/16/2010,1064.88,41.5062,55.6111,58.1545,85.7413,91.632,83.3818,84.0551,81.315,93.9837,116.67,17.49,34.16,37.0384,37.71
7/19/2010,1071.25,41.8619,55.8478,58.349,85.7256,91.5467,82.8689,83.8359,81.286,93.6193,115.73,17.27,34.46,37.4947,38.1425
7/20/2010,1083.48,42.3674,56.7853,58.8184,85.82,91.4785,82.993,83.9236,81.315,93.726,116.65,17.33,34.82,38.1951,38.7953
7/21/2010,1069.59,41.787,55.7659,58.7916,86.2369,91.8794,84.3992,84.4585,81.3536,94.2149,115.85,17.31,34.2,37.4003,38.0482
7/22/2010,1093.67,42.8448,57.751,59.3147,86.1268,91.7941,83.4231,83.9937,81.3246,94.126,116.863,17.71,35.42,38.801,39.4166
7/23/2010,1102.66,43.1163,59.1716,59.5829,86.2369,91.632,82.538,83.7219,81.286,93.886,116.09,17.72,35.39,39.2928,39.8806
7/26/2010,1115.01,43.472,60.5193,59.6097,86.3156,91.615,82.3974,83.6956,81.257,93.9215,115.52,17.78,35.35,40.2803,40.9108
7/27/2010,1113.84,43.4533,60.3007,59.5292,86.0245,91.5809,81.6033,83.4062,81.2086,93.7882,113.51,17.3,34.67,40.2724,40.9029
7/28/2010,1106.13,43.1069,59.3264,59.4018,86.3313,91.7514,81.868,83.7657,81.286,94.0993,113.78,17.16,34.36,40.1937,40.84
7/29/2010,1101.53,42.7886,59.1716,59.5829,86.3628,91.8367,81.8432,83.9411,81.3536,94.2149,114.288,17.24,35.06,39.8554,40.4783
